"county","tract","cbsa","cntyname","cbsaname","hus10","afact","AFACT2"
"06001","4365.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1843,1,0.001
"06001","4366.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1937,1,0.001
"06001","4366.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1718,1,0.001
"06001","4367.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1050,1,0.001
"06001","4368.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1366,1,0.001
"06001","4369.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1926,1,0.001
"06001","4370.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1269,1,0.001
"06001","4371.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1880,1,0.001
"06001","4371.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1465,1,0.001
"06001","4372.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2435,1,0.001
"06001","4373.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",943,1,0.001
"06001","4374.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",954,1,0.001
"06001","4375.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1189,1,0.001
"06001","4376.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",940,1,0.001
"06001","4377.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1107,1,0.001
"06001","4377.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1111,1,0.001
"06001","4378.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1393,1,0.001
"06001","4379.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",708,1,0
"06001","4380.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1124,1,0.001
"06001","4381.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2185,1,0.001
"06001","4382.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1245,1,0.001
"06001","4382.03","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1263,1,0.001
"06001","4382.04","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1925,1,0.001
"06001","4383.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",924,1,0.001
"06001","4384.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",746,1,0
"06001","4401.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1027,1,0.001
"06001","4402.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1492,1,0.001
"06001","4403.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2195,1,0.001
"06001","4403.04","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1316,1,0.001
"06001","4403.05","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1023,1,0.001
"06001","4403.06","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1036,1,0.001
"06001","4403.07","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1626,1,0.001
"06001","4403.08","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2019,1,0.001
"06001","4403.31","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",942,1,0.001
"06001","4403.32","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",872,1,0.001
"06001","4403.33","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",828,1,0
"06001","4403.34","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1070,1,0.001
"06001","4403.35","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2225,1,0.001
"06001","4403.36","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1480,1,0.001
"06001","4411.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1728,1,0.001
"06001","4412.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2641,1,0.002
"06001","4413.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1199,1,0.001
"06001","4413.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1855,1,0.001
"06001","4414.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2346,1,0.001
"06001","4414.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1728,1,0.001
"06001","4415.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1758,1,0.001
"06001","4415.03","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2021,1,0.001
"06001","4415.21","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1800,1,0.001
"06001","4415.22","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1457,1,0.001
"06001","4415.23","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1402,1,0.001
"06001","4415.24","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1332,1,0.001
"06001","4416.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1451,1,0.001
"06001","4416.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2330,1,0.001
"06001","4417.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2762,1,0.002
"06001","4418.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2413,1,0.001
"06001","4419.21","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1295,1,0.001
"06001","4419.23","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2227,1,0.001
"06001","4419.24","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2675,1,0.002
"06001","4419.25","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2919,1,0.002
"06001","4419.26","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1456,1,0.001
"06001","4419.27","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1817,1,0.001
"06001","4420.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1023,1,0.001
"06001","4421.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1660,1,0.001
"06001","4422.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2161,1,0.001
"06001","4423.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1461,1,0.001
"06001","4423.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2050,1,0.001
"06001","4424.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1977,1,0.001
"06001","4425.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",2239,1,0.001
"06001","4426.01","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1295,1,0.001
"06001","4426.02","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1744,1,0.001
"06001","4427.00","41860","Alameda CA","San Francisco-Oakland-Hayward, CA",1093,1,0.001
