"county"	"tract"	"state"	"placefp"	"stab"	"cntyname"	"placenm"	"pop10"	"afact"
"county"	"2010 Tract"	"FIPS state"	"placefp"	"State Postal Code"	"cntyname"	"Place Name"	"Total Pop, 2010 census"	"tract to placefp alloc factor"
"06001"	"4238.00"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	2925	1 
"06001"	"4239.01"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	2020	1 
"06001"	"4239.02"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	1552	1 
"06001"	"4240.01"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	3716	1 
"06001"	"4240.02"	"06"	"06000"	"CA"	"Alameda CA"	"Berkeley city, CA"	2172	1 
"06001"	"4251.01"	"06"	"22594"	"CA"	"Alameda CA"	"Emeryville city, CA"	1596	1 
"06001"	"4251.02"	"06"	"22594"	"CA"	"Alameda CA"	"Emeryville city, CA"	2807	1 
"06001"	"4251.03"	"06"	"22594"	"CA"	"Alameda CA"	"Emeryville city, CA"	2502	1 
"06001"	"4251.04"	"06"	"22594"	"CA"	"Alameda CA"	"Emeryville city, CA"	3175	1 
"06001"	"4261.00"	"06"	"56938"	"CA"	"Alameda CA"	"Piedmont city, CA"	5922	1 
"06001"	"4262.00"	"06"	"56938"	"CA"	"Alameda CA"	"Piedmont city, CA"	4745	1 
"06001"	"4271.00"	"06"	"00562"	"CA"	"Alameda CA"	"Alameda city, CA"	3646	1 
"06001"	"4272.00"	"06"	"00562"	"CA"	"Alameda CA"	"Alameda city, CA"	4107	1 
"06001"	"4273.00"	"06"	"00562"	"CA"	"Alameda CA"	"Alameda city, CA"	4896	1 
"06001"	"4276.00"	"06"	"00562"	"CA"	"Alameda CA"	"Alameda city, CA"	4722	1 
"06001"	"4277.00"	"06"	"00562"	"CA"	"Alameda CA"	"Alameda city, CA"	4866	1 
"06001"	"4278.00"	"06"	"00562"	"CA"	"Alameda CA"	"Alameda city, CA"	4640	1 
"06001"	"4279.00"	"06"	"00562"	"CA"	"Alameda CA"	"Alameda city, CA"	4567	1 
"06001"	"4280.00"	"06"	"00562"	"CA"	"Alameda CA"	"Alameda city, CA"	2928	1 
"06001"	"4281.00"	"06"	"00562"	"CA"	"Alameda CA"	"Alameda city, CA"	4651	1 
"06001"	"4282.00"	"06"	"00562"	"CA"	"Alameda CA"	"Alameda city, CA"	6259	1 
"06001"	"4283.01"	"06"	"00562"	"CA"	"Alameda CA"	"Alameda city, CA"	6526	1 
"06001"	"4283.02"	"06"	"00562"	"CA"	"Alameda CA"	"Alameda city, CA"	7074	1 
"06001"	"4284.00"	"06"	"00562"	"CA"	"Alameda CA"	"Alameda city, CA"	4357	1 
"06001"	"4285.00"	"06"	"00562"	"CA"	"Alameda CA"	"Alameda city, CA"	3183	1 
